index,x,y
truck3,338.57581338244324,42.230383973288816
truck8,164.62860650705954,130.41736227045075
truck14,150.65070595457337,222.64106844741238
truck17,310.62001227747083,222.02003338898166
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck30,332.05279312461636,352.12687813021705
truck33,393.24493554327813,377.2787979966611
truck37,209.35788827501537,398.3939899833055
truck42,276.1411909146716,476.95492487479135
truck52,241.9729895641498,281.94991652754595
truck44,315.5899324739104,295.92320534223705
