employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 1,['P3'],['T270'],8,12,[-0.027166504381694268]
Talent 2,"['P3', 'P3']","['T97', 'T166']",11,9,"[-0.017692307692307688, -0.017582417582417582]"
Talent 3,"['P2', 'P2']","['T201', 'T297']",11,9,"[-0.01773854560739807, -0.011648351648351648]"
Talent 4,"['P5', 'P5']","['T153', 'T296']",10,10,"[-0.01749788672865596, -0.011564986737400529]"
Talent 5,['P4'],['T39'],8,12,[-0.029608127721335267]
Talent 6,"['P5', 'P5']","['T83', 'T242']",11,9,"[-0.015746606334841626, -0.00968262506724045]"
Talent 7,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T14', 'T74', 'T159', 'T174', 'T222', 'T239']",11,9,"[0.0007239819004524844, 0.004102564102564103, 0.0005769230769230765, -0.0015755329008341013, 0.0, -0.0013911620294599024]"
Talent 8,"['P2', 'P2', 'P2', 'P2']","['T44', 'T177', 'T256', 'T298']",11,9,"[0.012725546058879385, 0.011442307692307694, 0.013529732678668851, 0.012307692307692308]"
Talent 9,"['P3', 'P3']","['T278', 'T289']",10,10,"[-0.017294429708222814, -0.016429249762583097]"
Talent 10,"['P2', 'P2', 'P2']","['T6', 'T109', 'T135']",11,9,"[0.009194355939918068, 0.01135531135531136, 0.010657498925655345]"
Talent 11,"['P4', 'P4', 'P4']","['T94', 'T212', 'T253']",11,9,"[-0.007330924109447601, -0.004072398190045248, -0.0009483667017913563]"
Talent 12,"['P1', 'P1']","['T29', 'T36']",11,9,"[-0.012326803631151458, -0.011317418213969945]"
Talent 13,"['P1', 'P1']","['T75', 'T179']",11,9,"[-0.004033771106941837, -0.00856748042376785]"
Talent 14,"['P3', 'P3', 'P3']","['T10', 'T202', 'T237']",11,9,"[-0.0038730500268961787, -0.009675858732462505, -0.008058608058608061]"
Talent 15,"['P4', 'P4']","['T56', 'T84']",11,9,"[-0.016362827923521568, -0.015601300108342358]"
Talent 16,"['P4', 'P4', 'P4', 'P4']","['T85', 'T106', 'T217', 'T261']",11,9,"[-0.0006237006237006224, -0.004686118479221925, -0.002065049044914819, -0.006672845227062093]"
Talent 17,['P3'],['T92'],8,12,[-0.035140815468684326]
Talent 18,"['P4', 'P4']","['T102', 'T215']",10,10,"[-0.026079802550390788, -0.021939007737824312]"
Talent 19,"['P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T115', 'T173', 'T219', 'T286']",11,9,"[0.002750322303394927, 0.0003308519437551693, 0.00038703434929850014, 0.001190476190476188, 0.0005769230769230765]"
Talent 20,"['P1', 'P1']","['T189', 'T251']",11,9,"[-0.022222222222222227, -0.022271914132379257]"
Talent 21,"['P2', 'P2', 'P2']","['T49', 'T164', 'T165']",11,9,"[0.008626056024899952, 0.006403748535728233, 0.006593406593406596]"
Talent 22,"['P3', 'P3']","['T126', 'T163']",11,9,"[-0.010779696493982215, -0.013613053613053613]"
Talent 23,"['P5', 'P5']","['T1', 'T132']",11,9,"[-0.012889812889812887, -0.013857064920894708]"
Talent 24,"['P2', 'P2', 'P2']","['T150', 'T205', 'T223']",11,9,"[-0.0059886422302529736, -0.005838739573679329, -0.008176438945669716]"
Talent 25,"['P3', 'P3']","['T58', 'T246']",11,9,"[-0.021794871794871797, -0.018414918414918408]"
Talent 26,"['P1', 'P1', 'P1', 'P1']","['T26', 'T206', 'T258', 'T273']",11,9,"[-0.003448275862068962, -0.00010188487009678773, 0.0007918552036199084, 0.0017320427916454393]"
Talent 27,"['P3', 'P3']","['T68', 'T119']",11,9,"[-0.02148384160218478, -0.01686390532544378]"
Talent 28,"['P3', 'P3', 'P3', 'P3']","['T48', 'T158', 'T182', 'T277']",11,9,"[-0.0015205724508050083, 0.004395604395604396, -0.00019851116625310225, 0.0015481373971940023]"
Talent 29,['P3'],['T154'],8,12,[-0.023269230769230764]
Talent 30,"['P4', 'P4']","['T61', 'T82']",10,10,"[-0.014638694638694638, -0.018283166109253058]"
Talent 31,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T2', 'T55', 'T244', 'T248', 'T269', 'T292']",11,9,"[0.00020110608345902904, -0.0007085020242914993, 0.0030145530145530195, 0.00028142589118199243, -0.0010194624652455984, 0.002351788339049485]"
Talent 34,['P1'],['T290'],8,12,[-0.026452684006640834]
Talent 35,['P1'],['T226'],8,12,[-0.02493368700265252]
Talent 36,"['P2', 'P2']","['T145', 'T220']",11,9,"[-0.014669051878354206, -0.010620347394540946]"
Talent 37,"['P2', 'P2', 'P2']","['T32', 'T131', 'T155']",11,9,"[-0.006669630947087594, -0.008408982322025799, -0.004625439919557567]"
Talent 38,"['P1', 'P1']","['T171', 'T204']",10,10,"[-0.010841507485802787, -0.014646996838777663]"
Talent 39,"['P2', 'P2', 'P2']","['T5', 'T108', 'T216']",11,9,"[0.004329801934592352, 0.008588957055214726, 0.004408457040035986]"
Talent 40,"['P5', 'P5']","['T13', 'T144']",11,9,"[-0.009474141677531503, -0.01035316884373488]"
Talent 41,"['P1', 'P1']","['T87', 'T275']",11,9,"[-0.016053511705685624, -0.016490096729617685]"
Talent 42,"['P3', 'P3', 'P3', 'P3', 'P3']","['T24', 'T191', 'T203', 'T227', 'T228']",11,9,"[0.00332383665716999, 0.0016896398399288573, 0.003846153846153847, 0.0032159930465015204, 0.004162895927601812]"
Talent 43,"['P4', 'P4']","['T57', 'T267']",10,10,"[-0.014241164241164237, -0.01923076923076924]"
Talent 44,['P1'],['T250'],8,12,[-0.02648018648018649]
