employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 1,"['P4', 'P4']","['T101', 'T199']",11,9,"[-0.02926093514328809, -0.02909890109890109]"
Talent 2,['P4'],['T240'],2,18,[-0.019185520361990952]
Talent 3,['P2'],['T177'],3,17,[-0.019134615384615382]
Talent 4,['P3'],['T228'],1,19,[-0.01656108597285068]
Talent 5,"['P1', 'P1', 'P1']","['T21', 'T174', 'T239']",13,7,"[-0.029755872869645334, -0.03243744207599629, -0.033960720130932896]"
Talent 6,"['P2', 'P2', 'P2']","['T162', 'T164', 'T265']",18,2,"[-0.012912087912087911, -0.021632174931667306, -0.019943019943019943]"
Talent 7,"['P1', 'P1']","['T66', 'T105']",4,16,"[-0.0033830044301248457, 0.0014792899408283989]"
Talent 8,"['P4', 'P4']","['T136', 'T267']",7,13,"[0.01599592460519613, 0.01219512195121952]"
Talent 9,['P3'],['T300'],2,18,[-0.017683465959328022]
Talent 10,['P3'],['T10'],1,19,[0.01764389456697149]
Talent 11,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T26', 'T55', 'T74', 'T149', 'T195', 'T222', 'T233']",19,1,"[-0.010963748894783376, -0.004352226720647774, -0.005687645687645687, -0.008567480423767851, -0.005860805860805868, -0.00854700854700855, -0.006580702534459762]"
Talent 12,"['P4', 'P4']","['T57', 'T281']",8,12,"[-0.009979209979209978, -0.014880201765447664]"
Talent 13,"['P1', 'P1', 'P1', 'P1', 'P1']","['T129', 'T138', 'T171', 'T230', 'T275']",18,2,"[-0.01244598098530683, -0.012012644889357217, -0.006711409395973152, -0.015150331901600938, -0.009396591432519578]"
Talent 14,['P1'],['T258'],1,19,[-0.0075791855203619935]
Talent 15,['P3'],['T166'],3,17,[-0.024271380793119926]
Talent 16,"['P3', 'P3']","['T203', 'T237']",7,13,"[-0.009716599190283403, -0.003453689167974886]"
Talent 17,['P3'],['T73'],5,15,[-0.03391608391608393]
Talent 18,"['P1', 'P1', 'P1', 'P1']","['T4', 'T40', 'T54', 'T204']",13,7,"[-0.026094347641308958, -0.027154266498528794, -0.0228287841191067, -0.019810326659641726]"
Talent 19,"['P2', 'P2']","['T125', 'T157']",8,12,"[0.0008192990441511177, -0.0012100259291270522]"
Talent 20,"['P2', 'P2', 'P2', 'P2']","['T33', 'T165', 'T167', 'T223']",18,2,"[-0.02145473574045004, -0.02672527472527473, -0.023216783216783218, -0.0227003765465304]"
Talent 21,"['P4', 'P4']","['T212', 'T295']",8,12,"[0.008868778280542982, 0.012836243511090138]"
Talent 22,"['P2', 'P2']","['T249', 'T291']",6,14,"[-0.01622889305816136, -0.017074255224544234]"
Talent 23,['P3'],['T286'],3,17,[-0.020192307692307697]
Talent 24,"['P2', 'P2', 'P2']","['T46', 'T140', 'T155']",9,11,"[-0.0114027149321267, -0.0097399003873824, -0.0065359477124183]"
Talent 25,"['P1', 'P1', 'P1', 'P1']","['T36', 'T244', 'T257', 'T273']",16,4,"[-0.025552608311229005, -0.01954261954261954, -0.029274725274725282, -0.023025980641874687]"
Talent 26,['P2'],['T170'],8,12,[-0.006102277610657498]
Talent 27,"['P1', 'P1', 'P1']","['T30', 'T75', 'T179']",19,1,"[-0.022132253711201075, -0.019606003752345225, -0.022478120681713506]"
Talent 28,"['P3', 'P3']","['T59', 'T192']",7,13,"[-0.001113360323886639, -0.006211180124223599]"
Talent 29,"['P4', 'P4']","['T86', 'T184']",10,10,"[-0.026739926739926742, -0.022710622710622717]"
Talent 30,"['P3', 'P3']","['T23', 'T34']",3,17,"[-0.013407821229050283, -0.018063958513396722]"
Talent 31,['P4'],['T272'],2,18,[0.0018815716657443278]
Talent 34,"['P3', 'P3', 'P3']","['T25', 'T115', 'T176']",8,12,"[-0.03351648351648352, -0.03374689826302727, -0.031328671328671336]"
Talent 35,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T44', 'T49', 'T63', 'T69', 'T76', 'T79', 'T88']",19,1,"[-0.0268755935422602, -0.028634948866162732, -0.026223776223776214, -0.027551533433886378, -0.022414671421293938, -0.023274161735700197, -0.02805429864253394]"
Talent 36,"['P3', 'P3', 'P3']","['T126', 'T271', 'T285']",18,2,"[-0.010884353741496603, -0.015028901734104039, -0.0131163708086785]"
Talent 37,['P4'],['T99'],1,19,[-0.00883190883190883]
Talent 38,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T43', 'T85', 'T217', 'T225', 'T247', 'T253']",13,7,"[-0.015290806754221389, -0.008627858627858627, -0.010738255033557048, -0.015284715284715283, -0.014811275680840896, -0.010221285563751311]"
Talent 39,"['P3', 'P3', 'P3']","['T163', 'T182', 'T232']",7,13,"[0.006620046620046622, 0.006947890818858559, 0.007604895104895106]"
Talent 40,"['P4', 'P4', 'P4']","['T146', 'T151', 'T160']",18,2,"[-0.007139265962795377, -0.014585414585414585, -0.01529304029304029]"
Talent 41,"['P2', 'P2', 'P2', 'P2']","['T150', 'T224', 'T256', 'T283']",20,0,"[-0.014248838409912232, -0.019084712755598837, -0.018330605564648116, -0.01787194841087057]"
Talent 42,['P2'],['T235'],5,15,[0.0037057832678270572]
Talent 43,['P3'],['T48'],5,15,[-0.01833631484794276]
Talent 44,"['P2', 'P2', 'P2']","['T104', 'T161', 'T205']",14,6,"[-0.026273726273726265, -0.02898686679174485, -0.026135310472659865]"
Talent 45,"['P4', 'P4', 'P4']","['T39', 'T82', 'T84']",16,4,"[-0.004934687953555876, -0.008769973987365287, -0.002383531960996755]"
Talent 46,"['P1', 'P1', 'P1']","['T87', 'T252', 'T269']",12,8,"[0.0021978021978022004, -0.0039828192112456055, -0.002038924930491192]"
Talent 47,['P3'],['T278'],5,15,[-0.0007427055702917787]
Talent 48,"['P3', 'P3']","['T68', 'T97']",16,4,"[-0.008284023668639052, -0.00778846153846154]"
Talent 49,['P3'],['T93'],8,12,[-0.026232741617356996]
Talent 50,"['P4', 'P4', 'P4']","['T94', 'T185', 'T215']",9,11,"[-0.0024780588538977806, 0.0014529914529914443, 0.0024578971324533427]"
Talent 51,"['P3', 'P3']","['T219', 'T289']",7,13,"[-0.023626373626373622, -0.024121557454890787]"
Talent 52,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T14', 'T112', 'T122', 'T128', 'T206', 'T294']",18,2,"[-0.005067873303167427, 0.002497502497502495, -0.0037735849056603765, -0.0038703434929850014, -0.003973509933774834, -0.003201422854602044]"
Talent 53,['P2'],['T28'],5,15,[-0.03253012048192771]
Talent 54,"['P2', 'P2', 'P2']","['T134', 'T216', 'T298']",15,5,"[-0.007282051282051282, -0.012685560053981111, -0.014903846153846156]"
Talent 55,['P3'],['T113'],2,18,[-0.018852823477100933]
Talent 56,"['P4', 'P4', 'P4', 'P4']","['T37', 'T56', 'T70', 'T96']",13,7,"[-0.0290989010989011, -0.026233881725211208, -0.026469182990922123, -0.028754578754578757]"
Talent 57,"['P3', 'P3']","['T89', 'T202']",7,13,"[-0.017874610938194754, -0.01877116594097726]"
Talent 58,"['P3', 'P3']","['T119', 'T180']",6,14,"[-0.0006903353057199221, 0.0016783216783216798]"
Talent 59,"['P4', 'P4']","['T124', 'T196']",3,17,"[-0.013960113960113957, -0.01311939594148183]"
Talent 60,"['P1', 'P1']","['T238', 'T250']",16,4,"[-0.008597285067873309, -0.014172494172494172]"
Talent 61,"['P2', 'P2', 'P2']","['T11', 'T152', 'T293']",11,9,"[-0.016582220175034548, -0.015690269994905765, -0.019990200881920623]"
Talent 62,"['P1', 'P1']","['T2', 'T38']",2,18,"[0.013976872800402211, 0.013017751479289944]"
Talent 63,['P3'],['T137'],2,18,[-0.006806526806526804]
Talent 64,"['P4', 'P4', 'P4', 'P4']","['T95', 'T102', 'T106', 'T123']",10,10,"[-0.005781479666829984, -0.011435623200329087, -0.007338638373121127, -0.004595404595404594]"
Talent 65,"['P2', 'P2', 'P2']","['T6', 'T19', 'T201']",10,10,"[-0.012016385980883018, -0.007796257796257798, -0.01067675493905002]"
Talent 66,"['P1', 'P1', 'P1']","['T159', 'T189', 'T248']",8,12,"[-0.014519230769230774, -0.014484930274403958, -0.012101313320825516]"
Talent 67,"['P3', 'P3', 'P3', 'P3', 'P3']","['T191', 'T246', 'T264', 'T277', 'T287']",14,6,"[-0.02267674522009782, -0.014452214452214446, -0.022121074192080106, -0.01799709724238026, -0.013996529786003464]"
Talent 68,['P2'],['T135'],5,15,[-0.019424151267726685]
Talent 69,"['P2', 'P2', 'P2']","['T47', 'T259', 'T274']",11,9,"[-0.010485603781693165, -0.00826019617965927, -0.008063021316033363]"
Talent 70,['P4'],['T186'],5,15,[0.006077872744539411]
Talent 71,"['P1', 'P1', 'P1', 'P1']","['T107', 'T210', 'T251', 'T266']",19,1,"[-0.0057350933090578055, -0.01121251629726206, -0.010196779964221823, -0.00825727944372012]"
Talent 72,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T9', 'T91', 'T108', 'T109', 'T114', 'T220']",20,0,"[-0.004382284382284383, -0.01089023336214348, -0.002831524303916941, -0.004029304029304031, -0.0024150268336314805, -0.0020843672456575717]"
Talent 73,['P5'],['T1'],8,12,[0.015072765072765067]
Talent 74,"['P1', 'P1', 'P1']","['T29', 'T121', 'T226']",14,6,"[-0.03067367415193502, -0.02723492723492724, -0.031034482758620696]"
Talent 75,['P3'],['T245'],8,12,[-0.01787461093819475]
Talent 76,"['P2', 'P2', 'P2']","['T32', 'T297', 'T299']",14,6,"[-0.01689639839928857, -0.01571428571428571, -0.019306184012066366]"
Talent 77,"['P1', 'P1', 'P1', 'P1']","['T41', 'T148', 'T290', 'T292']",17,3,"[-0.009716599190283396, -0.009401709401709401, -0.005866076369673491, -0.007937285644292013]"
Talent 78,['P2'],['T145'],8,12,[-0.028175313059033986]
Talent 79,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T18', 'T110', 'T143', 'T187', 'T234', 'T296']",15,5,"[-0.013555675094136634, -0.014056447149972328, -0.018499292118924017, -0.01441702951136913, -0.01480769230769231, -0.012519893899204245]"
Talent 80,['P2'],['T127'],8,12,[-0.015011655011655013]
Talent 81,"['P3', 'P3']","['T100', 'T208']",4,16,"[-0.026324786324786326, -0.022866750735603198]"
Talent 82,"['P3', 'P3', 'P3']","['T92', 'T270', 'T284']",17,3,"[-0.03648591845313157, -0.03154819863680624, -0.03144230769230769]"
Talent 83,"['P4', 'P4', 'P4']","['T20', 'T35', 'T190']",7,13,"[-0.0038914027149321282, -0.0057579847053531264, -0.00887912087912088]"
Talent 84,"['P5', 'P5', 'P5', 'P5', 'P5']","['T42', 'T51', 'T65', 'T77', 'T209']",20,0,"[-0.02387267904509284, -0.02359603586597451, -0.026564739608217876, -0.024479388015299603, -0.026549450549450546]"
