employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 1,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T10', 'T34', 'T89', 'T113', 'T137', 'T176', 'T203', 'T208', 'T228', 'T271', 'T277', 'T287']",19,1,"[0.07291382208614376, 0.05716761071022377, 0.06513512241174305, 0.06720230543880701, 0.06407818618589213, 0.06280610311458464, 0.06280610311458464, 0.06071497278809675, 0.06518444548631581, 0.06173340936335073, 0.06480273630049325, 0.07398279809643935]"
Talent 2,"['P2', 'P2', 'P2']","['T131', 'T145', 'T167']",18,2,"[0.07094951966727799, 0.06742029394482112, 0.06833732014141461]"
Talent 3,['P5'],['T83'],8,12,[0.07550174634851904]
Talent 4,"['P4', 'P4']","['T81', 'T262']",13,7,"[0.06744221248136112, 0.07505580715124242]"
Talent 5,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T62', 'T63', 'T79', 'T256', 'T293', 'T298']",20,0,"[0.059231513091245906, 0.06208754436894962, 0.06178362115933177, 0.06233573378973752, 0.0578880423701074, 0.054532109252870054]"
Talent 8,['P5'],['T50'],5,15,[0.07885257005515899]
Talent 9,"['P5', 'P5', 'P5', 'P5']","['T71', 'T142', 'T268', 'T296']",16,4,"[0.06696500091191236, 0.062956450480245, 0.06668784101153663, 0.07794631993683965]"
Talent 10,['P5'],['T78'],5,15,[0.08107463663511526]
Talent 11,"['P3', 'P3']","['T126', 'T263']",10,10,"[0.08478125157708606, 0.06804241658419692]"
Talent 12,['P5'],['T153'],5,15,[0.07207858697053993]
Talent 13,"['P4', 'P4']","['T39', 'T231']",16,4,"[0.08005106475922759, 0.06276209244625261]"
Talent 15,"['P5', 'P5', 'P5', 'P5', 'P5']","['T7', 'T52', 'T175', 'T178', 'T181']",20,0,"[0.07119428017636138, 0.06842885300781966, 0.06838303950563987, 0.07336406991596492, 0.0626131606146155]"
Talent 16,"['P1', 'P1']","['T30', 'T290']",16,4,"[0.07178450000117743, 0.07692307692307691]"
Talent 17,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T9', 'T33', 'T47', 'T69', 'T109', 'T114', 'T152', 'T201', 'T259', 'T299']",20,0,"[0.05839581272817413, 0.05929789379941912, 0.05222602066524344, 0.054669853912048934, 0.0541307444559963, 0.055495138158058864, 0.05993627404635968, 0.0537711067551426, 0.05959570095991734, 0.05967087144783188]"
Talent 18,"['P4', 'P4', 'P4', 'P4', 'P4']","['T35', 'T86', 'T96', 'T261', 'T281']",19,1,"[0.05960320495756509, 0.060683227396108465, 0.06225838415568563, 0.06344145022772571, 0.0603997891539587]"
