index,x,y
truck1,112.75506445672193,58.06677796327212
truck6,56.22222222222222,129.48580968280467
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck12,224.57826887661142,93.7762938230384
truck13,102.50460405156538,208.35726210350586
truck14,150.65070595457337,222.64106844741238
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck17,310.62001227747083,222.02003338898166
truck27,173.94720687538367,340.3272120200334
truck37,209.35788827501537,398.3939899833055
truck38,112.44444444444444,397.7729549248748
truck46,394.487415592388,524.4641068447413
truck49,492.64333947206876,479.7495826377296
truck47,296.3314917127072,323.559265442404
truck55,387.0325352977287,454.5976627712855
